GEOID,B01003_001_Population
420912101001,593
420912101002,560
420912003051,2189
420912003081,1706
420912071031,2165
420912072021,762
420912072022,871
420912018001,746
420912018002,796
420912018003,1541
420912010033,2618
420912010032,1321
420912011002,1720
420912011003,1137
420912013011,1690
420912016041,1167
420912016034,791
420912009082,898
420912014101,2526
420912020002,1681
420912039014,741
420912039013,1085
420912039011,632
420912022023,1168
420912022022,1151
420912030002,1735
420912032041,794
420912055032,1527
420912055031,2073
420912057003,1012
420912041014,555
420912041012,900
420912041011,764
420912054003,835
420912054002,1778
420912054005,1188
420912044004,705
420912045001,883
420912045003,862
420912045004,1409
420912051002,547
420912055022,842
420912055023,1013
420912055021,908
420912056001,1735
420912056003,818
420912062012,1322
420912062011,1037
420912070012,1697
420912070011,1970
420912034031,1704
420912049002,1757
420912049003,1275
420912049004,1187
420912042001,578
420912042002,771
420912105004,1159
420912019014,971
420912105002,898
420912003011,1411
420912003013,2859
420912019012,1779
420912023021,1241
420912023022,884
420912026022,1140
420912026033,989
420912026031,686
420912034012,1534
420912036012,917
420912036014,680
420912036013,823
420912057004,1125
420912057002,762
420912057001,408
420912058052,921
420912058053,1103
420912060052,1375
420912060051,1690
420912062021,646
420912001061,1257
420912009021,1226
420912009033,1538
420912009032,1290
420912082041,1552
420912089053,756
420912089051,698
420912089061,985
420912089063,1028
420912089064,777
420912103002,979
420912103001,1381
420912104001,1738
420912104002,1048
420912104004,759
420912003102,899
420912003101,892
420912004011,1432
420912004013,561
420912009011,1713
420912009012,1331
420912009013,1223
420912001032,2118
420912001031,1949
420912089012,1227
420912089013,1374
420912089011,1119
420912040102,990
420912040101,1656
420912072011,894
420912069051,1906
420912072013,894
420912088011,1373
420912089031,738
420912089032,1600
420912092011,625
420912102002,1113
420912102003,1044
420912054001,1545
420912059042,925
420912063002,841
420912063003,1338
420912079001,1068
420912086041,1625
420912047012,954
420912060061,768
420912016053,845
420912016052,1176
420912016062,1461
420912003061,2138
420912070031,2210
420912055011,746
420912005073,1294
420912006024,2259
420912006032,1837
420912006051,1432
420912006052,2452
420912006053,2669
420912006061,2488
420912006062,747
420912006071,2027
420912006072,2316
420912007031,2065
420912055013,1460
420912055012,700
420912055014,849
420912059052,2552
420912059051,1145
420912069062,1408
420912068011,4464
420912087041,2053
420912069061,1511
420912086031,2293
420912086032,1175
420912017052,1813
420912007032,2157
420912007071,2278
420912007072,1887
420912007082,2806
420912007083,1110
420912010042,2498
420912010051,2279
420912012011,2380
420912012012,2292
420912012032,1223
420912014042,2600
420912003083,1030
420912005051,1647
420912009071,769
420912009073,792
420912092021,1346
420912048003,1953
420912048001,1161
420912023014,861
420912023013,1190
420912023011,880
420912039022,638
420912058081,731
420912058084,694
420912082032,1249
420912082031,1496
420912076001,1562
420912076003,454
420912076002,628
420912061041,3355
420912032051,525
420912033031,1589
420912033041,1282
420912036024,1379
420912036021,981
420912036022,781
420912036023,1001
420912037001,1819
420912034032,707
420912061052,4614
420912061063,1351
420912064002,1813
420912065011,4402
420912065022,2229
420912067021,3335
420912067041,5027
420912067042,2448
420912068021,2778
420912069012,1459
420912069043,2295
420912069052,2792
420912070032,836
420912070042,1099
420912071012,2661
420912071032,2094
420912073001,811
420912074001,2922
420912082011,2141
420912076004,1159
420912078001,3358
420912079003,849
420912082033,2193
420912083011,834
420912070041,2121
420912071041,2469
420912073002,1215
420912073003,630
420912081002,768
420912081001,2190
420912085002,2361
420912087031,2405
420912087032,1720
420912088021,1274
420912091001,2194
420912091002,1264
420912019022,1040
420912019025,832
420912019023,1571
420912019024,749
420912005011,1455
420912005013,1666
420912001041,2324
